FORWARD_TEXT_FORMAT_1.0
STDEP =   208.0410
ENDEP =  2542.0400
RLEV  =     0.1250
CURVENAME =  AC, CAL, GR, R4_0, RILD, RILM, RLL8, RT
END
#DEPTH            AC        CAL         GR       R4_0       RILD       RILM       RLL8         RT
 238.5410     321.036     23.760    107.181      1.080     20.606     16.205     12.314  -9999.000
 238.6660     324.903     23.707    103.642      2.355     21.024     16.483     11.911  -9999.000
 238.7910     321.527     23.731     95.906      4.202     21.555     17.036     12.392  -9999.000
 238.9160     312.559     23.581     88.924      6.512     22.170     17.938     13.023  -9999.000
 239.0410     298.318     23.238     84.205      9.192     22.735     19.375     14.162  -9999.000
 239.1660     280.590     23.048     76.112     12.090     23.206     21.219     18.545  -9999.000
 239.2910     267.232     23.067     68.492     14.964     23.750     22.600     26.095  -9999.000
 239.4160     264.599     23.157     68.472     17.555     24.531     23.055     31.428  -9999.000
 239.5410     272.154     23.112     75.406     19.682     25.557     23.050     28.056  -9999.000
 239.6660     282.763     23.038     83.021     21.251     26.785     23.333     22.273  -9999.000
 239.7910     290.896     23.022     87.377     22.204     28.043     23.812     19.512  -9999.000
 239.9160     297.166     23.015     88.441     22.764     29.019     24.040     19.083  -9999.000
 240.0410     302.608     22.911     92.657     23.071     29.351     23.856     18.469  -9999.000
 240.1660     305.630     22.778     97.637     23.221     28.862     23.508     17.527  -9999.000
 240.2910     305.566     22.681     98.691     23.238     28.055     23.189     17.511  -9999.000
 240.4160     303.639     22.839     98.715     23.134     27.165     22.738     18.362  -9999.000
 240.5410     302.129     22.952     99.948     22.886     26.299     21.986     18.987  -9999.000
 240.6660     303.742     23.013     99.813     22.483     25.521     21.042     18.187  -9999.000
 240.7910     308.240     23.083    100.286     21.923     24.985     20.224     16.859  -9999.000
 240.9160     312.932     23.090    103.400     21.288     24.711     19.694     15.632  -9999.000
 241.0410     314.257     23.131    105.150     20.648     24.535     19.436     14.945  -9999.000
 241.1660     311.284     23.184     98.164     20.066     24.177     19.314     14.912  -9999.000
 241.2910     308.975     23.294     92.570     19.595     23.643     19.049     15.480  -9999.000
 241.4160     310.666     23.267     88.919     19.226     23.117     18.591     15.835  -9999.000
 241.5410     315.333     23.405     83.354     18.954     22.619     18.154     15.243  -9999.000
 241.6660     318.940     23.466     78.128     18.769     22.079     17.909     14.426  -9999.000
 241.7910     320.975     23.383     79.748     18.666     21.544     17.697     14.225  -9999.000
 241.9160     324.147     23.410     85.936     18.600     21.090     17.276     14.386  -9999.000
 242.0410     329.818     23.499     96.196     18.524     20.726     16.716     13.972  -9999.000
 242.1660     335.057     23.541    104.261     18.391     20.422     16.268     13.045  -9999.000
 242.2910     336.449     23.535    107.094     18.150     20.205     16.088     12.401  -9999.000
 242.4160     333.877     23.494    107.258     17.818     20.066     16.127     12.348  -9999.000
 242.5410     328.904     23.410    103.139     17.436     19.918     16.254     12.709  -9999.000
 242.6660     322.525     23.407     93.706     17.067     19.723     16.365     13.247  -9999.000
 242.7910     316.389     23.459     86.778     16.798     19.564     16.413     13.791  -9999.000
 242.9160     313.463     23.159     82.706     16.660     19.498     16.391     14.151  -9999.000
 243.0410     316.253     22.617     76.740     16.661     19.506     16.352     13.949  -9999.000
 243.1660     323.547     22.219     72.157     16.776     19.551     16.362     13.174  -9999.000
 243.2910     329.183     22.077     70.522     16.960     19.582     16.396     12.312  -9999.000
 243.4160     330.307     21.964     70.049     17.123     19.514     16.370     12.101  -9999.000
 243.5410     329.053     21.926     69.217     17.199     19.358     16.180     12.574  -9999.000
 243.6660     330.999     21.979     67.075     17.153     19.217     15.830     12.977  -9999.000
 243.7910     335.814     22.066     64.866     16.986     19.169     15.561     12.487  -9999.000
 243.9160     337.400     22.308     64.875     16.781     19.212     15.594     11.730  -9999.000
 244.0410     330.371     22.539     67.960     16.598     19.282     15.935     11.712  -9999.000
 244.1660     317.652     22.460     72.012     16.472     19.306     16.272     12.958  -9999.000
 244.2910     310.721     22.129     74.294     16.418     19.285     16.314     14.207  -9999.000
 244.4160     314.202     22.086     74.821     16.410     19.337     16.153     14.285  -9999.000
